"決算期","売上高","営業利益","経常利益","当期利益","EPS","BPS"
"2008/03","1501097","1262033","239064","162154","42.0","381.1"
"2009/03","1338597","1146945","191652","162939","14.0","346.7"
"2010/03","1173473","1023610","149863","151180","","330.1"
"2011/03","1226949","1037079","189870","147242","31.1","345.1"
"2012/03","1303778","1088918","214860","157375","27.9","365.0"
"2013/03","1288881","1085469","203412","161349","36.9","404.7"
"2014/03","1385482","1140293","245189","172837","46.2","434.3"
"2015/03","1486123","1216680","269443","182184","61.8","516.8"
"2016/03","1541096","1253691","287405","191408","55.1","516.1"
"2017/03","1518830","1278907","239923","193963","31.4","523.1"
"2018/03","1574242","1319715","254527","198602","34.6","557.6"
"2019/03","1594743","1326668","268075","204052","32.8","569.9"
"2020/03","1641335","1370809","270526","208463","22.3","545.1"
"2021/03","1488486","1297324","191162","196468","","556.7"
"2022/03 I","156890","-58396","-108904","108511","",""
"2023/03 I","1725609","1391787","333822","251467","63.4","689.4"
"2024/03 I","1849287","1537050","312237","266035","30.4","758.6"
"2025/03 I","2129321","1697784","431537","288413","105.3","841.0"
"2026/03 I","2311267","1856350","454917","309814","129.4","1050.6"
"2026/06 I New","45859","-43312","-1306","39228","",""
