"original_path","quarantine_path","symbol_code","original_last_write","quarantined_at","reason"
"data\output\2802_financials.csv","data\quarantine\20260809_parser_corruption\2802_financials.csv","2802","1601-01-01 09:00:00","2026-08-09 22:51:37","旧パーサのHTMLフォールバックが損益計算書・CF・進捗テーブル等の値を通期業績として誤取込(2026-08-08 16:28以降)。新ヘッダー検証型パーサで検証しPARSER_SCHEMA_MISMATCH相当と確認"
"data\output\4004_financials.csv","data\quarantine\20260809_parser_corruption\4004_financials.csv","4004","1601-01-01 09:00:00","2026-08-09 22:51:37","旧パーサのHTMLフォールバックが損益計算書・CF・進捗テーブル等の値を通期業績として誤取込(2026-08-08 16:28以降)。新ヘッダー検証型パーサで検証しPARSER_SCHEMA_MISMATCH相当と確認"
"data\output\6324_financials.csv","data\quarantine\20260809_parser_corruption\6324_financials.csv","6324","1601-01-01 09:00:00","2026-08-09 22:51:37","旧パーサのHTMLフォールバックが損益計算書・CF・進捗テーブル等の値を通期業績として誤取込(2026-08-08 16:28以降)。新ヘッダー検証型パーサで検証しPARSER_SCHEMA_MISMATCH相当と確認"
"data\output\6503_financials.csv","data\quarantine\20260809_parser_corruption\6503_financials.csv","6503","1601-01-01 09:00:00","2026-08-09 22:51:37","旧パーサのHTMLフォールバックが損益計算書・CF・進捗テーブル等の値を通期業績として誤取込(2026-08-08 16:28以降)。新ヘッダー検証型パーサで検証しPARSER_SCHEMA_MISMATCH相当と確認"
"data\output\6506_financials.csv","data\quarantine\20260809_parser_corruption\6506_financials.csv","6506","1601-01-01 09:00:00","2026-08-09 22:51:37","旧パーサのHTMLフォールバックが損益計算書・CF・進捗テーブル等の値を通期業績として誤取込(2026-08-08 16:28以降)。新ヘッダー検証型パーサで検証しPARSER_SCHEMA_MISMATCH相当と確認"
"data\output\6702_financials.csv","data\quarantine\20260809_parser_corruption\6702_financials.csv","6702","1601-01-01 09:00:00","2026-08-09 22:51:37","旧パーサのHTMLフォールバックが損益計算書・CF・進捗テーブル等の値を通期業績として誤取込(2026-08-08 16:28以降)。新ヘッダー検証型パーサで検証しPARSER_SCHEMA_MISMATCH相当と確認"
"data\output\7012_financials.csv","data\quarantine\20260809_parser_corruption\7012_financials.csv","7012","1601-01-01 09:00:00","2026-08-09 22:51:37","旧パーサのHTMLフォールバックが損益計算書・CF・進捗テーブル等の値を通期業績として誤取込(2026-08-08 16:28以降)。新ヘッダー検証型パーサで検証しPARSER_SCHEMA_MISMATCH相当と確認"
"data\output\7186_financials.csv","data\quarantine\20260809_parser_corruption\7186_financials.csv","7186","1601-01-01 09:00:00","2026-08-09 22:51:37","旧パーサのHTMLフォールバックが損益計算書・CF・進捗テーブル等の値を通期業績として誤取込(2026-08-08 16:28以降)。新ヘッダー検証型パーサで検証しPARSER_SCHEMA_MISMATCH相当と確認"
"data\output\7735_financials.csv","data\quarantine\20260809_parser_corruption\7735_financials.csv","7735","1601-01-01 09:00:00","2026-08-09 22:51:37","旧パーサのHTMLフォールバックが損益計算書・CF・進捗テーブル等の値を通期業績として誤取込(2026-08-08 16:28以降)。新ヘッダー検証型パーサで検証しPARSER_SCHEMA_MISMATCH相当と確認"
"data\output\8750_financials.csv","data\quarantine\20260809_parser_corruption\8750_financials.csv","8750","1601-01-01 09:00:00","2026-08-09 22:51:37","旧パーサのHTMLフォールバックが損益計算書・CF・進捗テーブル等の値を通期業績として誤取込(2026-08-08 16:28以降)。新ヘッダー検証型パーサで検証しPARSER_SCHEMA_MISMATCH相当と確認"
