"code","name","fetched_at","data_as_of","source_update_date","fetch_status","stale_flag","retry_count","error_type","error_message","stop_reason"
"6946","日本アビオニクス","2026-08-09 15:56:26","2026/03","","success","false","0","","",""
"7203","トヨタ自動車","2026-08-09 15:56:33","2026/03 I","","success","false","0","","",""
"6758","ソニーグループ","2026-08-09 15:56:40","2026/03 I","","success","false","0","","",""
"8473","SBIホールディングス","2026-08-09 15:56:46","2026/03 I","","success","false","0","","",""
"6701","NEC","2026-08-09 15:56:52","2026/03 I","","success","false","0","","",""
"8411","みずほフィナンシャルグループ","2026-08-09 15:56:58","2026/03","","success","false","0","","",""
"8306","三菱UFJフィナンシャル・グループ","2026-08-09 15:57:05","2026/03","","success","false","0","","",""
"8308","りそなホールディングス","2026-08-09 15:57:12","2026/03","","success","false","0","","",""
"6702","富士通","2026-08-09 15:57:19","2026/03 I","","success","false","0","","",""
"6501","日立製作所","2026-08-09 15:57:26","2026/03 I","","success","false","0","","",""
"3692","FFRIセキュリティ","2026-08-09 15:57:33","2026/03","","success","false","0","","",""
"7721","東京計器","2026-08-09 15:57:41","2026/03","","success","false","0","","",""
"9432","NTT","2026-08-09 15:57:48","2026/03 I","","success","false","0","","",""
"6861","キーエンス","2026-08-09 15:57:56","2026/03","","success","false","0","","",""
"8750","第一生命ホールディングス","2026-08-09 15:58:02","2026/06 New","","success","false","0","","",""
"9501","東京電力ホールディングス","2026-08-09 15:58:09","2026/03","","success","false","0","","",""
"7224","新明和工業","2026-08-09 15:58:17","2026/03","","success","false","0","","",""
"6178","日本郵政","2026-08-09 15:58:25","2026/03","","success","false","0","","",""
"6504","富士電機","2026-08-09 15:58:33","2026/03","","success","false","0","","",""
"5831","しずおかフィナンシャルグループ","2026-08-09 15:58:39","2026/03","","success","false","0","","",""
"7011","三菱重工業","2026-08-09 15:59:07","2026/03 I","","success","false","0","","",""
"8795","T&Dホールディングス","2026-08-09 15:59:15","2026/03","","success","false","0","","",""
"3778","さくらインターネット","2026-08-09 15:59:22","2026/03","","success","false","0","","",""
"5631","日本製鋼所","2026-08-09 15:59:28","2026/03","","success","false","0","","",""
"5844","京都フィナンシャルグループ","2026-08-09 15:59:35","2026/03","","success","false","0","","",""
"6508","明電舎","2026-08-09 15:59:42","2026/03","","success","false","0","","",""
"6857","アドバンテスト","2026-08-09 15:59:47","2026/03 I","","success","false","0","","",""
"3687","フィックスターズ","2026-08-09 15:59:54","2025/09","","success","false","0","","",""
"6503","三菱電機","2026-08-09 16:00:01","2026/03 I","","success","false","0","","",""
"3741","セック","2026-08-09 16:00:09","2026/03","","success","false","0","","",""
"5803","フジクラ","2026-08-09 16:00:16","2026/03","","success","false","0","","",""
"4062","イビデン","2026-08-09 16:00:21","2026/03","","success","false","0","","",""
"5801","古河電気工業","2026-08-09 16:00:28","2026/03","","success","false","0","","",""
"6324","ハーモニック","2026-08-09 16:00:35","2026/06 New","","success","false","0","","",""
"3915","テラスカイ","2026-08-09 16:00:41","2026/02","","success","false","0","","",""
"7012","川崎重工業","2026-08-09 16:00:48","2026/06 I New","","success","false","0","","",""
"8316","三井住友フィナンシャルグループ","2026-08-09 16:00:54","2026/03","","success","false","0","","",""
"7186","コンコルディア・フィナンシャルグループ","2026-08-09 16:01:00","2026/06 New","","success","false","0","","",""
"6920","レーザーテック","2026-08-09 16:01:09","2026/06","","success","false","0","","",""
"8331","千葉銀行","2026-08-09 16:01:17","2026/03","","success","false","0","","",""
"1961","三機工業","2026-08-09 16:01:44","2026/03","","success","false","0","","",""
"1969","高砂熱学工業","2026-08-09 16:01:50","2026/03","","success","false","0","","",""
"6146","ディスコ","2026-08-09 16:01:57","2026/03","","success","false","0","","",""
"7735","SCREENホールディングス","2026-08-09 16:02:04","2026/03","","success","false","0","","",""
"4004","レゾナック・ホールディングス","2026-08-09 16:02:11","2026/06 I New","","success","false","0","","",""
"5706","三井金属","2026-08-09 16:02:18","2026/03","","success","false","0","","",""
"8035","東京エレクトロン","2026-08-09 16:02:25","2026/03","","success","false","0","","",""
"6954","ファナック","2026-08-09 16:02:31","2026/03","","success","false","0","","",""
"5802","住友電気工業","2026-08-09 16:02:38","2026/03","","success","false","0","","",""
"6871","日本マイクロニクス","2026-08-09 16:02:44","2025/12","","success","false","0","","",""
"6315","TOWA","2026-08-09 16:02:52","2026/03","","success","false","0","","",""
"6526","ソシオネクスト","2026-08-09 16:02:57","2026/03","","success","false","0","","",""
"2802","味の素","2026-08-09 16:03:04","2026/06 I New","","success","false","0","","",""
"4063","信越化学工業","2026-08-09 16:03:11","2026/03","","success","false","0","","",""
"7182","ゆうちょ銀行","2026-08-09 16:03:17","2026/03","","success","false","0","","",""
"6506","安川電機","2026-08-09 16:03:23","2026/02 I","","success","false","0","","",""
"6723","ルネサスエレクトロニクス","2026-08-09 16:03:29","2025/12 I","","success","false","0","","",""
"7013","IHI","2026-08-09 16:03:37","2026/03 I","","success","false","0","","",""
"6203","豊和工業","2026-08-09 16:03:44","2026/03","","success","false","0","","",""
"9984","ソフトバンクグループ","2026-08-09 16:03:53","2026/03 I","","success","false","0","","",""
"9502","中部電力","2026-08-09 16:04:20","2026/03","","success","false","0","","",""
"3776","ブロードバンドタワー","2026-08-09 16:04:25","2025/12","","success","false","0","","",""
"6963","ローム","2026-08-09 16:04:32","2026/03","","success","false","0","","",""
"285A","キオクシアホールディングス","2026-08-09 16:04:40","2026/03 I","","success","false","0","","",""
"3436","SUMCO","2026-08-09 16:04:47","2025/12","","success","false","0","","",""
