"rank","code","name","current_price","price_as_of","quality_rank","quality_score","growth","profitability","financial","source_status","stale_flag","data_as_of","fetched_at","financial_industry_growth","financial_industry_profitability","financial_industry_financial","financial_industry_quality_score","financial_industry_quality_rank","financial_industry_rank_cap","financial_industry_rank_cap_reason"
"1","6857","アドバンテスト","32190","08/07 15:30","A","78","40","20","18","latest","false","2026/03 I","2026-08-09 15:59:47","40","20","16","76","A","FALSE",""
"2","3692","ＦＦＲＩセキュリティ","5210","08/07 15:30","A","76","40","18","18","latest","false","2026/03","2026-08-09 15:57:33","40","18","13","71","A","FALSE",""
"3","6920","レーザーテック","37460","08/07 15:30","A","76","40","20","18","latest","false","2026/06","2026-08-09 16:01:09","40","20","12","70","A","FALSE",""
"4","6146","ディスコ","58440","08/07 15:30","A","74.4","38.4","20","18","latest","false","2026/03","2026-08-09 16:01:57","38.4","20","18","76.4","A","FALSE",""
"5","6871","日本マイクロニクス","13710","08/07 15:30","A","72.8","36.8","18","18","latest","false","2025/12","2026-08-09 16:02:44","36.8","18","12","66.8","B","FALSE",""
"6","3687","フィックスターズ","2240","08/07 15:30","A","72.4","32.4","20","20","latest","false","2025/09","2026-08-09 15:59:54","32.4","20","12","62.4","B","FALSE",""
"7","8035","東京エレクトロン","54500","08/07 15:30","A","70.4","30.4","20","20","latest","false","2026/03","2026-08-09 16:02:25","30.4","20","12","62.4","B","FALSE",""
"8","7735","ＳＣＲＥＥＮホールディングス","13085","08/07 15:30","B","67.6","29.6","20","18","latest","false","2026/03","2026-08-09 16:02:04","29.6","20","12","59.6","B","FALSE",""
"9","1961","三機工業","2350","08/07 15:30","B","66.2","35.2","13","18","latest","false","2026/03","2026-08-09 16:01:44","35.2","13","13","61.2","B","FALSE",""
"10","5706","三井金属","32220","08/07 15:30","B","65.8","34.8","15","16","latest","false","2026/03","2026-08-09 16:02:18","34.8","13","12","59.8","B","FALSE",""
"11","3741","セック","3080","08/07 15:30","B","64.4","30.4","14","20","latest","false","2026/03","2026-08-09 16:00:09","30.4","15","16","61.4","B","FALSE",""
"12","1969","高砂熱学工業","4114","08/07 15:30","B","63.8","36.8","11","16","latest","false","2026/03","2026-08-09 16:01:50","36.8","10","16","62.8","B","FALSE",""
"13","6861","キーエンス","85110","08/07 15:30","B","63","32","15","18","latest","false","2026/03","2026-08-09 15:57:56","32","14","12","58","B","FALSE",""
"14","5802","住友電気工業","2129.5","08/07 15:30","B","61.8","36.8","9","16","latest","false","2026/03","2026-08-09 16:02:38","36.8","7","13","56.8","B","FALSE",""
"15","6946","日本アビオニクス","5700","08/07 15:30","B","61.8","36.8","17","8","latest","false","2026/03","2026-08-09 15:56:26","36.8","16","9","61.8","B","FALSE",""
"16","6526","ソシオネクスト","1981","08/07 15:30","B","61.4","38.4","5","18","latest","false","2026/03","2026-08-09 16:02:57","38.4","6","6","48.4","C","FALSE",""
"17","6504","富士電機","14630","08/07 15:30","B","60.8","34.8","10","16","latest","false","2026/03","2026-08-09 15:58:33","34.8","7","16","57.8","B","FALSE",""
"18","6508","明電舎","10850","08/07 15:30","B","59.8","36.8","10","13","latest","false","2026/03","2026-08-09 15:59:42","36.8","10","13","59.8","B","FALSE",""
"19","5803","フジクラ","5185","08/07 15:30","B","59.4","28.4","17","16","latest","false","2026/03","2026-08-09 16:00:16","28.4","16","16","58.4","B","FALSE",""
"20","4063","信越化学工業","6116","08/07 15:30","B","58","24","14","20","latest","false","2026/03","2026-08-09 16:03:11","24","14","12","48","C","FALSE",""
"21","8473","ＳＢＩホールディングス","3003","08/07 15:30","C","57","40","12","5","latest","false","2026/03 I","2026-08-09 15:56:46","40","18","13","71","A","FALSE",""
"22","7011","三菱重工業","4044","08/07 15:30","C","55.2","35.2","9","11","latest","false","2026/03 I","2026-08-09 15:59:07","35.2","7","10","52.2","C","FALSE",""
"23","6954","ファナック","6535","08/07 15:30","C","54","28","6","20","latest","false","2026/03","2026-08-09 16:02:31","28","8","12","48","C","FALSE",""
"24","7721","東京計器","7210","08/07 15:30","C","53.8","36.8","3","14","latest","false","2026/03","2026-08-09 15:57:41","36.8","3","13","52.8","C","FALSE",""
"25","8316","三井住友フィナンシャルグループ","6782","08/07 15:30","C","53","40","8","5","latest","false","2026/03","2026-08-09 16:00:54","40","12","16","68","A","FALSE",""
"26","6701","日本電気","4862","08/07 15:30","C","52.8","30.8","9","13","latest","false","2026/03 I","2026-08-09 15:56:52","30.8","7","18","55.8","C","FALSE",""
"27","6315","ＴＯＷＡ","2532","08/07 15:30","C","52","30","6","16","latest","false","2026/03","2026-08-09 16:02:52","30","8","12","48","C","FALSE",""
"28","8411","みずほフィナンシャルグループ","8446","08/07 15:30","C","52","40","7","5","latest","false","2026/03","2026-08-09 15:56:58","40","10","16","66","B","FALSE",""
"29","5801","古河電気工業","3856","08/07 15:30","C","51.8","36.8","6","9","latest","false","2026/03","2026-08-09 16:00:28","36.8","9","12","57.8","B","FALSE",""
"30","3915","テラスカイ","2218","08/07 15:30","C","51.6","25.6","8","18","latest","false","2026/02","2026-08-09 16:00:41","25.6","6","12","43.6","D","FALSE",""
"31","8306","三菱ＵＦＪフィナンシャル・グループ","3564","08/07 15:30","C","51.4","38.4","8","5","latest","false","2026/03","2026-08-09 15:57:05","38.4","12","16","66.4","B","FALSE",""
"32","7013","ＩＨＩ","2744.5","08/07 15:30","C","50.8","36.8","13","1","latest","false","2026/03 I","2026-08-09 16:03:37","36.8","13","4","53.8","C","FALSE",""
"33","6503","三菱電機","5826","08/07 15:30","C","50.6","21.6","11","18","latest","false","2026/03 I","2026-08-09 16:00:01","21.6","10","12","43.6","D","FALSE",""
"34","4062","イビデン","19110","08/07 15:30","C","47.4","24.4","9","14","latest","false","2026/03","2026-08-09 16:00:21","24.4","12","12","48.4","C","FALSE",""
"35","6501","日立製作所","5620","08/07 15:30","C","46.8","24.8","9","13","latest","false","2026/03 I","2026-08-09 15:57:26","24.8","7","20","51.8","C","FALSE",""
"36","5631","日本製鋼所","7744","08/07 15:30","C","44.8","30.8","3","11","latest","false","2026/03","2026-08-09 15:59:28","30.8","3","16","49.8","C","FALSE",""
"37","6506","安川電機","5266","08/07 15:30","C","44","20","8","16","latest","false","2026/02 I","2026-08-09 16:03:23","20","10","12","40","D","FALSE",""
"38","8331","千葉銀行","2666","08/07 15:30","C","44","32","7","5","latest","false","2026/03","2026-08-09 16:01:17","32","10","18","60","B","FALSE",""
"39","7182","ゆうちょ銀行","3188","08/07 15:30","D","42.4","30.4","5","7","latest","false","2026/03","2026-08-09 16:03:17","30.4","8","13","51.4","C","FALSE",""
"40","8308","りそなホールディングス","2313","08/07 15:30","D","41.4","30.4","6","5","latest","false","2026/03","2026-08-09 15:57:12","30.4","8","13","51.4","C","FALSE",""
"41","6702","富士通","3675","08/07 15:30","D","40","4","18","18","latest","false","2026/03 I","2026-08-09 15:57:19","4","20","20","44","C","TRUE","operating_growth_5y_negative"
"42","7203","トヨタ自動車","2980","08/07 15:30","D","39.6","25.6","5","9","latest","false","2026/03 I","2026-08-09 15:56:33","25.6","7","16","48.6","C","FALSE",""
"43","6758","ソニーグループ","3721","08/07 15:30","D","38.4","16.4","8","16","latest","false","2026/03 I","2026-08-09 15:56:40","16.4","4","18","36.4","D","FALSE",""
"44","7224","新明和工業","2019","08/07 15:30","D","37.4","24.4","2","11","latest","false","2026/03","2026-08-09 15:58:17","24.4","2","16","42.4","D","FALSE",""
"45","6723","ルネサス　エレクトロニクス","3757","08/07 15:30","D","33.4","18.4","5","14","latest","false","2025/12 I","2026-08-09 16:03:29","18.4","6","12","30.4","E","FALSE",""
"46","7186","横浜フィナンシャルグループ","1839","08/07 15:30","D","32.8","22.8","7","5","latest","false","2026/06 New","2026-08-09 16:01:00","22.8","10","16","46.8","C","FALSE",""
"47","6203","豊和工業","1488","08/07 15:30","E","31.8","18.8","0","13","latest","false","2026/03","2026-08-09 16:03:44","18.8","0","9","25.8","E","FALSE",""
"48","9984","ソフトバンクグループ","5552","08/07 15:30","E","29.6","9.6","18","2","latest","false","2026/03 I","2026-08-09 16:03:53","9.6","18","2","27.6","E","FALSE",""
"49","9502","中部電力","2708","08/07 15:30","E","28.4","22.4","1","5","latest","false","2026/03","2026-08-09 16:04:20","22.4","2","3","27.4","E","FALSE",""
"50","3776","ブロードバンドタワー","252","08/07 15:30","E","22.2","13.2","1","8","latest","false","2025/12","2026-08-09 16:04:25","13.2","0","0","13.2","E","FALSE",""
"51","9432","ＮＴＴ","158.5","08/07 15:30","E","21.6","7.6","8","6","latest","false","2026/03 I","2026-08-09 15:57:48","7.6","10","20","37.6","D","TRUE","ordinary_growth_5y_negative"
"52","2802","味の素","5196","08/07 15:30","E","21","0","16","9","latest","false","2026/06 I New","2026-08-09 16:03:04","0","17","16","29","E","FALSE",""
"53","8795","Ｔ＆Ｄホールディングス","5006","08/07 15:30","E","20.2","9.2","6","5","latest","false","2026/03","2026-08-09 15:59:15","9.2","2","10","21.2","E","FALSE",""
"54","6324","ハーモニック・ドライブ・システムズ","7160","08/07 15:30","E","20","0","6","18","latest","false","2026/06 New","2026-08-09 16:00:35","0","8","12","14","E","FALSE",""
"55","9501","東京電力ホールディングス","521.3","08/07 15:30","E","19.2","19.2","0","2","latest","false","2026/03","2026-08-09 15:58:09","19.2","0","2","17.2","E","FALSE",""
"56","8750","第一ライフグループ","1932.5","08/07 15:30","E","18","4","11","5","latest","false","2026/06 New","2026-08-09 15:58:02","4","14","16","32","D","TRUE","ordinary_growth_5y_negative"
"57","3436","ＳＵＭＣＯ","3470","08/07 15:30","E","15.8","4.8","3","12","latest","false","2025/12","2026-08-09 16:04:47","4.8","4","12","14.8","E","TRUE","operating_growth_5y_negative"
"58","6178","日本郵政","2414","08/07 15:30","E","14.8","8.8","1","7","latest","false","2026/03","2026-08-09 15:58:25","8.8","1","12","19.8","E","FALSE",""
"59","3778","さくらインターネット","3440","08/07 15:30","E","12.8","4.8","1","9","latest","false","2026/03","2026-08-09 15:59:22","4.8","1","12","15.8","E","TRUE","ordinary_growth_5y_negative"
"60","6963","ローム","4571","08/07 15:30","E","11.2","3.2","1","9","latest","false","2026/03","2026-08-09 16:04:32","3.2","1","0","0.2","E","TRUE","operating_growth_5y_negative|ordinary_growth_5y_negative"
"61","285A","キオクシアホールディングス","47730","08/07 15:30","E","11","0","15","4","latest","false","2026/03 I","2026-08-09 16:04:40","0","13","0","3","E","FALSE",""
"62","7012","川崎重工業","2778.5","08/07 15:30","E","11","0","11","4","latest","false","2026/06 I New","2026-08-09 16:00:48","0","14","6","16","E","FALSE",""
"63","5844","京都フィナンシャルグループ","4668","08/07 15:30","E","3","0","8","3","latest","false","2026/03","2026-08-09 15:59:35","0","10","2","4","E","FALSE",""
"64","4004","レゾナック・ホールディングス","16395","08/07 15:30","E","1","0","1","4","latest","false","2026/06 I New","2026-08-09 16:02:11","0","1","0","0","E","FALSE",""
"65","5831","しずおかフィナンシャルグループ","3413","08/07 15:30","E","0","0","7","1","latest","false","2026/03","2026-08-09 15:58:39","0","10","3","5","E","FALSE",""
