"code","name","roe","roic","equity_ratio","interest_bearing_debt_ratio","analyst_rating","current_price","price_as_of","target_price_gap","progress_rate","sales_growth_3y","sales_growth_5y","operating_growth_3y","operating_growth_5y","ordinary_growth_3y","ordinary_growth_5y","net_income_growth_3y","net_income_growth_5y","operating_margin_3y","operating_margin_5y","profit_streak_years","dividend_increase_years","黒字継続年数","forecast_loss","fetched_at","data_as_of","source_update_date","fetch_status","stale_flag","fetch_score_note"
"6946","日本アビオニクス","25.4","15","44.6","65.1","4","5700","08/07 15:30","22.8","28.5","18","7.6","41.4","32.3","40.7","33","28","30","14.9","13.1","7","1","7","FALSE","2026-08-09 15:56:26","2026/03","","success","false",""
"7203","トヨタ自動車","10.2","3.1","37.8","108.2","4.5","2980","08/07 15:30","18.9","43","10.9","13.2","11.4","11.4","12","11.9","16.2","11.4","9.8","9.2","10","6","10","FALSE","2026-08-09 15:56:33","2026/03 I","","success","false",""
"6758","ソニーグループ","-4","11","51.8","20.6","4.86","3721","08/07 15:30","30.6","27.9","2.6","6.8","6.2","8.7","6.4","7.3","","","10.6","10.9","10","9","10","FALSE","2026-08-09 15:56:40","2026/03 I","","success","false",""
"8473","ＳＢＩホールディングス","28","4.9","4.7","393.9","4.5","3003","08/07 15:30","21.6","","23.8","28.5","72.4","29.8","72.4","29.8","130.3","39.4","19.5","24.5","10","3","10","FALSE","2026-08-09 15:56:46","2026/03 I","","success","false",""
"6701","日本電気","13","8.8","49.2","22.3","5","4862","08/07 15:30","26.7","0","2.6","3.7","28.3","18.5","33.4","20.3","33.1","12.6","7.6","6.5","10","7","10","FALSE","2026-08-09 15:56:52","2026/03 I","","success","false",""
"8411","みずほフィナンシャルグループ","11.5","2.9","3.7","221.2","4.7","8446","08/07 15:30","12.5","","16.3","23.1","25.8","24","25.8","24","31","21.5","13.6","13.7","10","5","10","FALSE","2026-08-09 15:56:58","2026/03","","success","false",""
"8306","三菱ＵＦＪフィナンシャル・グループ","11.3","2.9","5.2","149.5","4.7","3564","08/07 15:30","10.5","0","16.4","19.4","49.5","26.5","49.5","26.5","29.5","25.6","20.3","19.4","10","5","10","FALSE","2026-08-09 15:57:05","2026/03","","success","false",""
"8308","りそなホールディングス","9.2","4","3.8","128.2","3.89","2313","08/07 15:30","8.9","0","16.1","10.5","19.7","15.4","19.7","15.4","17.3","15.8","26.2","24.7","10","3","10","FALSE","2026-08-09 15:57:12","2026/03","","success","false",""
"6702","富士通","23.9","11.5","59.6","6.6","4.38","3675","08/07 15:30","24","","-1.9","-0.5","-4.2","-2.1","2.9","2.9","3.6","2","66.8","67.7","10","10","10","FALSE","2026-08-09 15:57:19","2026/03 I","","success","false",""
"6501","日立製作所","12.9","9.4","43.7","15.4","4.62","5620","08/07 15:30","8.7","22.1","-0.9","3.9","17","19.4","15.8","8.6","7.3","9.9","9.7","8.6","10","10","10","FALSE","2026-08-09 15:57:26","2026/03 I","","success","false",""
"3692","ＦＦＲＩセキュリティ","33.5","26.5","64.3","0.2","","5210","08/07 15:30","","151.2","30.6","21.9","89","33","80.7","34.7","80.5","34.6","26.2","18.9","10","3","10","FALSE","2026-08-09 15:57:33","2026/03","","success","false",""
"7721","東京計器","9.3","6.2","53.7","47.9","5","7210","08/07 15:30","12.3","119.4","11.4","7.8","59.9","33.8","48.2","30.4","66.2","33.5","7.7","6","10","3","10","FALSE","2026-08-09 15:57:41","2026/03","","success","false",""
"9432","ＮＴＴ","10.4","4.5","20.8","173.9","4.18","158.5","08/07 15:30","8.2","28.1","3.1","3.8","-2.3","0.4","-4.5","-0.9","-5.1","2.5","12.8","13.3","10","10","10","FALSE","2026-08-09 15:57:48","2026/03 I","","success","false",""
"6861","キーエンス","13.5","11.7","94.6","","4.62","85110","08/07 15:30","14.2","0","8.2","16.8","6.1","16.6","7.4","17.3","7","17.7","51.3","52.7","10","2","10","FALSE","2026-08-09 15:57:56","2026/03","","success","false",""
"8750","第一ライフグループ","11.3","6.8","5.7","96.1","4.1","1932.5","08/07 15:30","-0.1","28.9","-58.6","-37.5","","","-38.4","-26.6","16.1","4.2","26.1","53.8","10","5","10","FALSE","2026-08-09 15:58:02","2026/06 New","","success","false",""
"9501","東京電力ホールディングス","-12.7","2.7","21.8","200.2","1","521.3","08/07 15:30","-36.7","0","-6.7","1.5","","18.7","","17.1","","","4.3","2.1","3","","3","FALSE","2026-08-09 15:58:09","2026/03","","success","false",""
"7224","新明和工業","9.7","6.8","42.2","39.6","","2019","08/07 15:30","","17.7","8.2","6.4","20.7","9.3","18.1","7.9","16.3","16","5.2","4.9","10","5","10","FALSE","2026-08-09 15:58:17","2026/03","","success","false",""
"6178","日本郵政","4","","3.4","40.5","4.71","2414","08/07 15:30","3.3","29","0.9","-0.5","17.8","3.3","17.8","3.3","-4.6","-2.2","7.4","7.4","10","","10","FALSE","2026-08-09 15:58:25","2026/03","","success","false",""
"6504","富士電機","13.1","11.1","56.9","10.6","4","14630","08/07 15:30","8.2","16.3","6.7","7","15.4","23","16.6","22.5","16.9","18.5","10.4","9.6","10","6","10","FALSE","2026-08-09 15:58:33","2026/03","","success","false",""
"5831","しずおかフィナンシャルグループ","7.5","1.4","7.7","120.4","4.29","3413","08/07 15:30","2.2","28.1","15.1","","20.8","","20.8","","20","","29.7","28.7","4","3","4","FALSE","2026-08-09 15:58:39","2026/03","","success","false",""
"7011","三菱重工業","12.2","8.2","37.3","24.9","4.75","4044","08/07 15:30","36.9","33.3","5.8","6.1","35.4","57.3","35.4","57.3","36.5","52.2","7.9","6.6","6","5","6","FALSE","2026-08-09 15:59:07","2026/03 I","","success","false",""
"8795","Ｔ＆Ｄホールディングス","9.5","10.6","9.3","20.6","3.7","5006","08/07 15:30","1","32.5","2.7","7.6","","2.4","","2.4","","-3.1","5.9","3.5","3","10","3","FALSE","2026-08-09 15:59:15","2026/03","","success","false",""
"3778","さくらインターネット","0.7","-0.6","36.5","119","5","3440","08/07 15:30","59.1","54.7","19.6","9.8","","","-52.3","-37.5","-31.3","-22.2","5.4","5","10","2","10","FALSE","2026-08-09 15:59:22","2026/03","","success","false",""
"5631","日本製鋼所","9.5","5.6","49.4","41.6","5","7744","08/07 15:30","47.4","23.5","4.8","6.8","22.3","19.9","20.3","19.4","17.1","22.8","8.5","7.7","10","5","10","FALSE","2026-08-09 15:59:28","2026/03","","success","false",""
"5844","京都フィナンシャルグループ","8.7","6.3","9.6","35.6","4","4668","08/07 15:30","11","36.3","","","","","","","","","33.2","33.2","3","2","3","FALSE","2026-08-09 15:59:35","2026/03","","success","false",""
